program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/cfiles32/bitvector/byte_add_1-1.i,81.5,53,65,75.0,3,4,71.93%,-1.0,5,-1
/cfiles32/bitvector/byte_add_1-2.i,81.5,53,65,75.0,3,4,71.93%,-1.0,5,-1
/cfiles32/bitvector/byte_add_2-1.i,81.5,53,65,75.0,3,4,71.93%,-1.0,5,-1
/cfiles32/bitvector/byte_add_2-2.i,81.5,53,65,75.0,3,4,71.93%,-1.0,5,-1
/cfiles32/bitvector/gcd_4.c,87.0,20,23,75.0,3,4,66.67%,-1.0,1,-1
/cfiles32/bitvector/interleave_bits.i,92.0,23,25,66.7,2,3,60.0%,-1.0,1,-1
/cfiles32/bitvector/modulus-1.i,92.0,23,25,75.0,3,4,84.62%,-1.0,13,-1
/cfiles32/bitvector/modulus-2.i,92.0,23,25,75.0,3,4,84.62%,-1.0,11,-1
/cfiles32/bitvector/num_conversion_1.c,88.2,15,17,66.7,2,3,83.33%,-1.0,1,-1
/cfiles32/bitvector/num_conversion_2.c,88.2,15,17,66.7,2,3,83.33%,-1.0,1,-1
/cfiles32/bitvector/parity.i,91.7,22,24,66.7,2,3,77.78%,-1.0,7,-1
/cfiles32/bitvector/s3_srvr_2a_alt.BV.c.cil.c,84.2,325,386,66.7,2,3,72.08%,-1.0,67,-1
/cfiles32/bitvector/s3_srvr_2_alt.BV.c.cil.c,93.1,336,361,66.7,2,3,83.15%,-1.0,81,-1
/cfiles32/bitvector/s3_srvr_3a.BV.c.cil.c,84.9,303,357,66.7,2,3,78.8%,-1.0,53,-1
/cfiles32/bitvector/s3_srvr_3a_alt.BV.c.cil.c,85.8,307,358,66.7,2,3,81.52%,-1.0,63,-1
/cfiles32/bitvector/s3_srvr_3_alt.BV.c.cil.c,85.8,307,358,66.7,2,3,81.52%,-1.0,56,-1
/cfiles32/bitvector/soft_float_1-1.c.cil.c,69.2,117,169,66.7,4,6,68.42%,-1.0,30,-1
/cfiles32/bitvector/soft_float_1-2.c.cil.c,69.9,121,173,71.4,5,7,69.23%,-1.0,31,-1
/cfiles32/bitvector/soft_float_1-2a.c.cil.c,68.8,117,170,66.7,4,6,60.26%,-1.0,32,-1
/cfiles32/combinations/gcd_1+newton_1_2.i,92.1,35,38,88.9,8,9,75.0%,-1.0,5,-1
/cfiles32/combinations/gcd_1+newton_1_3.i,92.1,35,38,88.9,8,9,75.0%,-1.0,5,-1
/cfiles32/combinations/gcd_1+newton_1_4.i,92.1,35,38,88.9,8,9,81.25%,1.4840002059936523,5,1
/cfiles32/xcsp/aim-100-1-6-sat-1.c,0.0,0,0,0.0,0,0,100.0%,-1.0,292,-1
