program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/num_conversion_2.c,88.2,15,17,66.7,2,3,83.33%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/s3_srvr_2_alt.BV.c.cil.c,88.9,321,361,66.7,2,3,76.09%,-1,66,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/s3_srvr_2a_alt.BV.c.cil.c,83.4,322,386,66.7,2,3,71.57%,-1,63,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/s3_srvr_3_alt.BV.c.cil.c,82.4,295,358,66.7,2,3,72.83%,-1,36,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/s3_srvr_3a.BV.c.cil.c,84.0,300,357,66.7,2,3,75.0%,-1,36,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/s3_srvr_3a_alt.BV.c.cil.c,82.7,296,358,66.7,2,3,72.83%,-1,36,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_1-1.c.cil.c,69.2,117,169,66.7,4,6,67.11%,-1,29,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_1-2.c.cil.c,68.2,118,173,71.4,5,7,67.95%,-1,32,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_1-2a.c.cil.c,69.4,118,170,66.7,4,6,69.23%,-1,31,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_4-2.c.cil.c,64.9,85,131,71.4,5,7,60.87%,-1,29,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_5.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1,26,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_5a.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1,24,-1
/home/administrator/Desktop/exp500_new/cfiles32/combinations/Problem05_label45+token_ring.09.cil-1.c,57.8,6469,11196,95.7,44,46,50.26%,-1,1458,-1
/home/administrator/Desktop/exp500_new/cfiles32/combinations/Problem05_label49+token_ring.02.cil-2.c,55.6,6028,10837,93.8,30,32,47.21%,23.308000802993774,1359,1
/home/administrator/Desktop/exp500_new/cfiles32/combinations/Problem05_label49+token_ring.06.cil-1.c,57.9,6390,11045,95.0,38,40,50.5%,12.124000310897827,1419,1
