program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/cfiles32/bitvector/num_conversion_2.c,88.2,15,17,66.7,2,3,83.33%,-1.0,1,-1
/cfiles32/bitvector/s3_srvr_2_alt.BV.c.cil.c,87.3,315,361,66.7,2,3,73.91%,-1.0,68,-1
/cfiles32/bitvector/s3_srvr_2a_alt.BV.c.cil.c,83.9,324,386,66.7,2,3,73.6%,-1.0,72,-1
/cfiles32/bitvector/s3_srvr_3_alt.BV.c.cil.c,84.6,303,358,66.7,2,3,77.72%,-1.0,39,-1
/cfiles32/bitvector/s3_srvr_3a.BV.c.cil.c,82.9,296,357,66.7,2,3,73.37%,-1.0,35,-1
/cfiles32/bitvector/s3_srvr_3a_alt.BV.c.cil.c,85.2,305,358,66.7,2,3,78.8%,-1.0,67,-1
/cfiles32/bitvector/soft_float_1-1.c.cil.c,69.2,117,169,66.7,4,6,68.42%,-1.0,30,-1
/cfiles32/bitvector/soft_float_1-2.c.cil.c,69.9,121,173,71.4,5,7,67.95%,-1.0,32,-1
/cfiles32/bitvector/soft_float_1-2a.c.cil.c,67.6,115,170,66.7,4,6,67.95%,-1.0,31,-1
/cfiles32/bitvector/soft_float_4-2.c.cil.c,64.9,85,131,71.4,5,7,58.7%,-1.0,25,-1
/cfiles32/bitvector/soft_float_5.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1.0,30,-1
/cfiles32/bitvector/soft_float_5a.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1.0,27,-1
/cfiles32/combinations/Problem05_label45+token_ring.09.cil-1.c,56.9,6369,11196,95.7,44,46,48.78%,-1.0,1456,-1
/cfiles32/combinations/Problem05_label49+token_ring.02.cil-2.c,57.8,6259,10837,93.8,30,32,49.56%,40.51199960708618,1575,1
/cfiles32/combinations/Problem05_label49+token_ring.06.cil-1.c,57.1,6304,11045,95.0,38,40,49.42%,26.25599980354309,1424,1
/cfiles32/combinations/Problem05_label49+token_ring.07.cil-1.c,58.3,6464,11092,95.2,40,42,50.43%,-1.0,1567,-1
/cfiles32/combinations/Problem05_label49+token_ring.10.cil-2.c,57.6,6480,11248,95.8,46,48,49.96%,-1.0,1505,-1
/cfiles32/combinations/gcd_1+newton_1_2.i,92.1,35,38,88.9,8,9,75.0%,-1.0,5,-1
/cfiles32/combinations/gcd_1+newton_1_3.i,92.1,35,38,88.9,8,9,37.5%,-1.0,5,-1
/cfiles32/combinations/gcd_1+newton_1_4.i,92.1,35,38,88.9,8,9,81.25%,3.5199999809265137,5,1
/cfiles32/combinations/pals_lcr.3.1.ufo.BOUNDED-6.pals+Problem12_label01.c,95.8,3934,4107,42.9,6,14,88.74%,-1.0,1735,-1
/cfiles32/combinations/pals_lcr.3.ufo.BOUNDED-6.pals+Problem12_label01.c,95.8,3934,4106,42.9,6,14,88.96%,-1.0,1577,-1
/cfiles32/combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label06.c,95.7,3933,4108,40.0,6,15,88.41%,21.27999997138977,1672,16
/cfiles32/combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label07.c,95.7,3933,4108,40.0,6,15,88.53%,17.639999628067017,1648,9
/cfiles32/combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,95.7,3933,4108,40.0,6,15,87.85%,36.28399968147278,1624,9
/cfiles32/combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,93.1,3934,4227,33.3,6,18,81.62%,-1.0,1610,-1
/cfiles32/combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,93.1,3934,4226,33.3,6,18,81.64%,-1.0,1632,-1
/cfiles32/combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label02.c,93.1,3934,4226,33.3,6,18,81.54%,-1.0,1674,-1
/cfiles32/combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label04.c,93.1,3934,4226,33.3,6,18,81.54%,-1.0,1649,-1
/cfiles32/combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label07.c,93.1,3933,4226,33.3,6,18,81.62%,121.3639988899231,1608,12
/cfiles32/combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label08.c,93.1,3933,4226,33.3,6,18,81.62%,48.15999960899353,1617,14
/cfiles32/combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label09.c,93.1,3934,4226,33.3,6,18,81.72%,-1.0,1584,-1
/cfiles32/combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label04.c,93.2,3934,4223,33.3,6,18,81.7%,-1.0,1559,-1
/cfiles32/combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label05.c,93.2,3934,4223,33.3,6,18,81.7%,-1.0,1713,-1
/cfiles32/combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label09.c,93.2,3934,4223,33.3,6,18,81.81%,-1.0,1647,-1
/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label01.c,92.1,3934,4270,31.6,6,19,79.03%,-1.0,1703,-1
/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label02.c,92.1,3934,4270,31.6,6,19,79.33%,-1.0,1615,-1
/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label04.c,92.1,3934,4270,31.6,6,19,79.23%,-1.0,1632,-1
/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label05.c,92.1,3934,4270,31.6,6,19,79.33%,-1.0,1706,-1
/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label09.c,92.1,3934,4270,31.6,6,19,79.23%,-1.0,1605,-1
/cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label02.c,92.2,3934,4269,31.6,6,19,79.15%,-1.0,1657,-1
/cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label04.c,92.2,3934,4269,31.6,6,19,79.15%,-1.0,1694,-1
/cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label05.c,92.2,3934,4269,31.6,6,19,79.25%,-1.0,1620,-1
/cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,92.2,3934,4269,31.6,6,19,79.15%,-1.0,1616,-1
/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label00.c,92.1,3933,4269,31.6,6,19,79.23%,135.1439986228943,1637,5
/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,92.2,3934,4269,31.6,6,19,79.23%,-1.0,1639,-1
/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,92.2,3934,4269,31.6,6,19,79.33%,-1.0,1641,-1
/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,92.1,3933,4269,31.6,6,19,79.23%,30.571999549865723,1640,2
/cfiles32/combinations/square_1+soft_float_4-2a.c.cil.c,67.4,97,144,77.8,7,9,64.15%,0.2440001964569091,30,1
/cfiles32/combinations/square_2+soft_float_1-2a.c.cil.c,71.0,132,186,77.8,7,9,67.06%,0.252000093460083,32,1
/cfiles32/combinations/square_2+soft_float_2a.c.cil.c,72.3,107,148,77.8,7,9,64.91%,0.239999771118164,29,1
