program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/cfiles32/bitvector/num_conversion_2.c,88.2,15,17,66.7,2,3,66.67%,-1.0,1,-1
/cfiles32/bitvector/s3_srvr_2_alt.BV.c.cil.c,90.0,325,361,66.7,2,3,79.89%,-1.0,90,-1
/cfiles32/bitvector/s3_srvr_2a_alt.BV.c.cil.c,85.0,328,386,66.7,2,3,74.62%,-1.0,86,-1
/cfiles32/bitvector/s3_srvr_3_alt.BV.c.cil.c,84.4,302,358,66.7,2,3,76.63%,-1.0,39,-1
/cfiles32/bitvector/s3_srvr_3a.BV.c.cil.c,85.2,304,357,66.7,2,3,79.89%,-1.0,69,-1
/cfiles32/bitvector/s3_srvr_3a_alt.BV.c.cil.c,85.5,306,358,66.7,2,3,80.98%,-1.0,64,-1
/cfiles32/bitvector/soft_float_1-1.c.cil.c,69.2,117,169,66.7,4,6,68.42%,-1.0,31,-1
/cfiles32/bitvector/soft_float_1-2.c.cil.c,68.2,118,173,71.4,5,7,65.38%,-1.0,31,-1
/cfiles32/bitvector/soft_float_1-2a.c.cil.c,69.4,118,170,66.7,4,6,67.95%,-1.0,30,-1
/cfiles32/bitvector/soft_float_4-2.c.cil.c,64.9,85,131,71.4,5,7,58.7%,-1.0,30,-1
/cfiles32/bitvector/soft_float_5.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1.0,28,-1
/cfiles32/bitvector/soft_float_5a.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1.0,26,-1
/cfiles32/combinations/Problem05_label45+token_ring.09.cil-1.c,57.6,6449,11196,95.7,44,46,50.3%,-1.0,1429,-1
/cfiles32/combinations/Problem05_label49+token_ring.02.cil-2.c,55.3,5990,10837,93.8,30,32,46.73%,43.96399974822998,1294,1
/cfiles32/combinations/Problem05_label49+token_ring.06.cil-1.c,54.5,6015,11045,95.0,38,40,45.83%,21.039999961853027,1339,1
