program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
cfiles32/array-fpi/brs1f.c,16.7,3,18,25.0,1,4,92.31%,3.25600004196167,3,5
cfiles32/array-industry-pattern/array_of_struct_ptr_mul_init.i,0.0,0,0,0.0,0,0,45.45%,-1.0,63,-1
cfiles32/array-lopstr16/break-1.i,66.7,8,12,33.3,1,3,54.55%,-1.0,4,-1
cfiles32/array-tiling/mlceu.c,88.2,15,17,75.0,3,4,100.0%,6.639999866485596,38,1
cfiles32/array-tiling/skipped.c,95.2,20,21,75.0,3,4,88.89%,-1.0,97,-1
cfiles32/array-tiling/skippedu.c,95.2,20,21,75.0,3,4,94.44%,2.93999981880188,90,12
cfiles32/array-tiling/tcpy.c,95.0,19,20,75.0,3,4,85.71%,-1.0,39,-1
cfiles32/bitvector/gcd_1.c,90.0,18,20,75.0,3,4,70.0%,-1.0,4,-1
cfiles32/bitvector/num_conversion_2.c,88.2,15,17,66.7,2,3,83.33%,-1.0,1,-1
cfiles32/bitvector/s3_srvr_2_alt.BV.c.cil.c,87.8,317,361,66.7,2,3,75.54%,-1.0,170,-1
cfiles32/bitvector/s3_srvr_2a_alt.BV.c.cil.c,85.0,328,386,66.7,2,3,74.11%,-1.0,210,-1
cfiles32/bitvector/s3_srvr_3.BV.c.cil.c,85.7,306,357,66.7,2,3,81.52%,-1.0,174,-1
cfiles32/bitvector/s3_srvr_3_alt.BV.c.cil.c,85.8,307,358,66.7,2,3,80.98%,-1.0,190,-1
cfiles32/bitvector/s3_srvr_3a.BV.c.cil.c,85.7,306,357,66.7,2,3,80.98%,-1.0,160,-1
cfiles32/bitvector/s3_srvr_3a_alt.BV.c.cil.c,85.5,306,358,66.7,2,3,79.35%,-1.0,217,-1
cfiles32/bitvector/soft_float_1-1.c.cil.c,69.2,117,169,66.7,4,6,65.79%,-1.0,77,-1
cfiles32/bitvector/soft_float_1-2.c.cil.c,69.9,121,173,71.4,5,7,66.67%,-1.0,76,-1
cfiles32/bitvector/soft_float_1-2a.c.cil.c,68.8,117,170,66.7,4,6,61.54%,-1.0,72,-1
cfiles32/bitvector/soft_float_4-1.c.cil.c,63.8,81,127,66.7,4,6,59.09%,-1.0,69,-1
cfiles32/bitvector/soft_float_4-2.c.cil.c,64.9,85,131,71.4,5,7,58.7%,-1.0,75,-1
cfiles32/bitvector/soft_float_5.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1.0,79,-1
cfiles32/bitvector/soft_float_5a.c.cil.c,69.7,92,132,66.7,4,6,64.0%,-1.0,75,-1
cfiles32/combinations/gcd_1+newton_1_2.i,92.1,35,38,88.9,8,9,37.5%,-1.0,27,-1
cfiles32/combinations/gcd_1+newton_1_3.i,92.1,35,38,88.9,8,9,37.5%,-1.0,24,-1
cfiles32/combinations/pals_lcr.3.1.ufo.BOUNDED-6.pals+Problem12_label01.c,95.7,3929,4107,42.9,6,14,87.84%,-1.0,1348,-1
